X,Y,gid,Name,description,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength,PARK_ID,REGION
-71.0747662011267,42.3389944472162,603,,,8427,Rutland's Haven Community Garden,Community Group/Nonprofit,Land Trust,5,South End,0.11,,Open Space District,Community Gardens,BNAN_TTOR,,N,,,,0,0,5004.2470703125,334.669215905726,,INFO_Reallocation From Dept
-71.0840638401609,42.3360556693336,604,,,8428,Bessie Barnes Park,Community Group/Nonprofit,Land Trust,3,South End,0.1,,Residential District,"Parks, Playgrounds & Athletic Fields",BNAN_TTOR,,N,,,,0,0,4398.55200195312,267.182415540207,,INFO_Reallocation From Dept
-71.0843133520539,42.3365622639755,605,,,8429,Frederick Douglass Peace Garden,BRA,Land Trust,5,South End,0.11,,Residential District,Community Gardens,NULL,,N,,,,0,0,4953.52416992188,353.743923768716,,PARK_Maintenance_Ground Maintenance
-71.0843777267366,42.3402635996681,607,,,8431,Carter School Grounds,City of Boston,,3,South End,0.49,,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,,N,,,,0,0,21284.5087890625,1052.44039805285,,INFO_Reallocation From Dept
-71.0702030495036,42.3382634892252,608,,,8432,Harrison Urban Garden,Private,,5,South End,0.2,,Residential District,Community Gardens,NULL,SELROSLT,N,,,,0,0,8757.02880859375,576.060793258543,,PARK_Maintenance_Ground Maintenance
-71.089480700178,42.3242335972464,609,,,8433,Cedar-Juniper Natural Area,BNAN_TTOR,Land Trust,6,Roxbury,0.38,12 Cedar Street,Residential District,Urban Wilds & Natural Areas,NULL,,N,X,,,0,0,16823.4267578125,524.465813414071,,INFO_Reallocation From Dept
-71.0872608976766,42.3306223182409,610,,,8434,Madison Park Village CG,City of Boston,,5,Roxbury,0.24,,Institutional District,Community Gardens,NULL,,N,,,,0,0,10336.84375,444.828895941963,,INFO_Reallocation From Dept
-71.0753949925666,42.3447441084785,611,,,8435,Dartmouth Square,Private,,1,South End,0.17,150 Appleton Street,Residential District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,7361.63159179688,416.589252214493,,INFO_Reallocation From Dept
-71.077971274613,42.3494514036091,612,,,8436,BPL Courtyard,City of Boston,,1,Back Bay/Beacon Hill,0.19,230 Dartmouth Street,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,8132.181640625,435.759966496188,,INFO_Reallocation From Dept
-71.0554824507985,42.3214860917941,613,,,8437,Sharon's Park,City of Boston,A97,1,Dorchester,0.31,835 Columbia Road,Open Space District,"Malls, Squares & Plazas",DCR,DCR,X,X,Columbia-Buttonwood Park,DCR,0,0,13717.68359375,759.354609795426,,INFO_Reallocation From Dept
-71.0758733517194,42.3462593951106,614,,,8438,Tent City Courtyards,BRA,,1,South End,0.53,,Residential District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,22947.1240234375,1079.0891063167,,INFO_Reallocation From Dept
-71.0570439602701,42.3250868414891,615,,,8439,Washburn Street Green I,City of Boston,<Null>,1,South Boston,0.13,Across from 8 Washburn St,Open Space District,"Malls, Squares & Plazas",NULL,PWD,N,X,<Null>,PWD,0,0,5657.49926757812,535.640892784617,,INFO_Reallocation From Dept
-71.0654347574044,42.2991910823993,616,,,8440,William S. Britton Square,City of Boston,,1,Dorchester,0.03,,Residential District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,1319.81616210938,162.534368879328,,INFO_Reallocation From Dept
-71.0873427744238,42.3127321294912,617,,,8441,Crawford Street Park,Community Group/Nonprofit,Land Trust,3,Roxbury,0.24748528,59 Crawford Street,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,Private,N,N,,NULL,0,0,10780.4467773438,431.063986425706,,INFO_Reallocation From Dept
-71.058609957124,42.3647446789241,618,,,8442,Valenti Square,Commonwealth of Massachusetts,,1,Central Boston,0.09,,Special District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,5026.92236328125,324.23998831707,,INFO_Reallocation From Dept
-71.0608175636563,42.3630267969352,619,,,8443,Brooke Courthouse Plaza,Commonwealth of Massachusetts,,1,Central Boston,0.24,24 New Chardon Street,Special District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,10653.0639648438,528.490547226583,,INFO_Reallocation From Dept
-71.1037654709289,42.273195995772,620,,,8444,Mattahunt Woods I,City of Boston,A97/WPA,6,Mattapan,6.01,"Canaan, Itasca, Croydon & Kennebec Sts.",Residential District,Urban Wilds & Natural Areas,BCC,BPRD,X,X,,BCC,0,0,261960.129882812,6424.42991726792,,PARK_Maintenance_Ground Maintenance
-71.1005988739104,42.2685595638688,621,,,8445,Fairlawn Green,Private,,1,Mattapan,1.15,,Residential District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,49984.3879394531,2694.2496487611,,INFO_Reallocation From Dept
